flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1.0125978,0.00046105607,0,0.0012488852,285.2436753526344,816.6307155454207,1105,7567.852,3.3174717,461.39697,0.22239755,9976.23,4.5423775,0,,,,,285.2436753526344,0.00061801623,816.6307155454207,0.00060879654,-0.0010855481,0.028543029
1.012026,0.00046124423,0,0.0012495928,285.24271658313984,816.6302286686034,1106,7569.6943,3.31765,462.052,0.22200687,9970.597,4.5442314,0,,,,,285.24271658313984,0.0006183186,816.6302286686034,0.00060897274,-0.0010986776,0.028617308
1.0134128,0.0004613057,0,0.0012503002,285.24334078916985,816.6294735872423,1107,7570.933,3.3178344,461.56915,0.2227235,9984.26,4.544837,0,,,,,285.24334078916985,0.0006177536,816.6294735872423,0.0006085611,-0.00096188905,0.028708482
1.0139627,0.0004611394,0,0.0012510075,285.24383065293495,816.6311478879933,1108,7570.0776,3.3175974,460.95435,0.2224461,9989.678,4.5431986,0,,,,,285.24383065293495,0.000617194,816.6311478879933,0.0006079802,-0.00084632647,0.028521856
1.0122896,0.0004611855,0,0.0012517149,285.2446600646025,816.6313706184449,1109,7565.2446,3.3172162,461.5617,0.22267067,9973.194,4.5436525,0,,,,,285.2446600646025,0.00061757327,816.6313706184449,0.000608499,-0.00095997856,0.028210646
1.0100381,0.00046098747,0,0.0012524222,285.24509495648033,816.6312263626825,1110,7566.075,3.3174922,461.1578,0.2227491,9951.013,4.541702,0,,,,,285.24509495648033,0.0006179108,816.6312263626825,0.0006087579,-0.0010704616,0.028189259
1.0115371,0.00046121937,0,0.0012531294,285.24474567893895,816.6311678877073,1111,7566.0874,3.317212,461.96204,0.22254738,9965.78,4.5439863,0,,,,,285.24474567893895,0.00061771215,816.6311678877073,0.000608493,-0.0010381239,0.027998932
1.0075672,0.00046113302,0,0.0012538366,285.24341935290767,816.6294587707287,1112,7566.301,3.3174114,461.52838,0.22269098,9926.668,4.5431356,0,,,,,285.24341935290767,0.00061858044,816.6294587707287,0.00060934905,-0.0012161401,0.027964052
1.0124677,0.00046130706,0,0.0012545437,285.24492096407334,816.630943710194,1113,7569.703,3.31763,461.14923,0.22232604,9974.949,4.5448503,0,,,,,285.24492096407334,0.0006180274,816.630943710194,0.0006088845,-0.0011096635,0.02793091
1.0102717,0.00046139103,0,0.0012552508,285.2442039132777,816.6298674956818,1114,7565.8696,3.3173807,461.1538,0.22236407,9953.313,4.5456777,0,,,,,285.2442039132777,0.0006184553,816.6298674956818,0.0006092592,-0.0011419635,0.027639484
1.0128285,0.0004610522,0,0.0012559578,285.24366230750354,816.6299814151783,1115,7558.0527,3.3164918,461.20526,0.22250155,9978.503,4.5423393,0,,,,,285.24366230750354,0.00061869214,816.6299814151783,0.0006095066,-0.0010483278,0.02775933
1.0104389,0.00046112144,0,0.0012566646,285.24392412944036,816.6300687753156,1116,7561.9443,3.3169436,461.0535,0.22261553,9954.961,4.5430217,0,,,,,285.24392412944036,0.00061883475,816.6300687753156,0.00060949835,-0.0010161898,0.027965104
1.0123339,0.00046098485,0,0.0012573715,285.2434990269981,816.629729115701,1117,7554.475,3.316213,461.1897,0.22270556,9973.63,4.541676,0,,,,,285.2434990269981,0.0006192179,816.629729115701,0.0006099422,-0.00079764874,0.027871238
1.0137233,0.0004611382,0,0.0012580784,285.2434709233721,816.6305133291567,1118,7562.3174,3.3169327,461.14035,0.22335623,9987.318,4.5431867,0,,,,,285.2434709233721,0.00061842514,816.6305133291567,0.00060916116,-0.0007920922,0.027823158
1.0065646,0.0004608766,0,0.0012587851,285.24355339385085,816.630739913244,1119,7552.4526,3.3159642,460.9473,0.22272477,9916.791,4.5406094,0,,,,,285.24355339385085,0.00061901275,816.630739913244,0.00060971634,-0.0007025105,0.028214592
1.0088519,0.00046095002,0,0.0012594918,285.2429918384587,816.6304149153966,1120,7559.4795,3.316551,461.45572,0.22208442,9939.325,4.5413327,0,,,,,285.2429918384587,0.0006186276,816.6304149153966,0.000609403,-0.00063377694,0.02801346
1.0083152,0.00046111655,0,0.0012601984,285.24421859025557,816.6306902728254,1121,7557.605,3.3165176,461.42325,0.2225182,9934.037,4.5429735,0,,,,,285.24421859025557,0.00061885006,816.6306902728254,0.0006096791,-0.0006035308,0.027675718
1.0058907,0.00046065554,0,0.0012609051,285.24468764357096,816.6311138466436,1122,7553.857,3.31618,462.15198,0.22219424,9910.151,4.5384316,0,,,,,285.24468764357096,0.0006191125,816.6311138466436,0.0006099755,-0.0005362239,0.02794495
1.006134,0.0004607378,0,0.0012616116,285.2441920860689,816.630045796015,1123,7549.463,3.3156538,460.8799,0.22259235,9912.549,4.539242,0,,,,,285.2441920860689,0.00061916246,816.630045796015,0.0006099369,-0.0005963137,0.027632453
1.0028203,0.00046083124,0,0.001262318,285.2438655606898,816.6293928113765,1124,7548.3516,3.315647,461.45294,0.22265303,9879.9,4.5401626,0,,,,,285.2438655606898,0.00061964337,816.6293928113765,0.0006103142,-0.0005507078,0.027656345
