flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
1.0001667,8.1679544e-05,0,0.00083685404,1022.0986975533216,227.59990095806762,568,105425.766,8.898327,1478.5743,0.52827954,111743.18,9.125611,0,,,,,1022.0986975533216,8.29484e-05,227.59990095806762,8.59775e-05,-0.0028784848,0.002017445
1.0000045,8.212345e-05,0,0.0008377989,1022.0987193781685,227.5994933003203,569,105434.34,8.898497,1477.793,0.5274735,111725.07,9.175206,0,,,,,1022.0987193781685,8.294212e-05,227.5994933003203,8.5970656e-05,-0.002602874,0.0015323557
0.99982893,8.2513565e-05,0,0.0008387438,1022.0988469059274,227.5998733349807,570,105410.875,8.897675,1477.6537,0.52689755,111705.45,9.218792,0,,,,,1022.0988469059274,8.296488e-05,227.5998733349807,8.599173e-05,-0.002217882,0.0019257355
1.0000242,8.209652e-05,0,0.00083968864,1022.0998164721692,227.59972135970503,571,105427.02,8.898306,1479.9102,0.5266073,111727.266,9.172198,0,,,,,1022.0998164721692,8.294666e-05,227.59972135970503,8.598898e-05,-0.0014055093,0.0017120267
1.0001016,8.250014e-05,0,0.0008406335,1022.0998871361954,227.60042749758057,572,105429.914,8.898436,1479.9984,0.52741516,111735.91,9.217292,0,,,,,1022.0998871361954,8.294202e-05,227.60042749758057,8.5992215e-05,-0.0009175761,0.0020300713
0.9999183,8.268211e-05,0,0.00084157835,1022.1001750036982,227.6004062027097,573,105405.766,8.897613,1479.9385,0.5266951,111715.43,9.237623,0,,,,,1022.1001750036982,8.296574e-05,227.6004062027097,8.600994e-05,-0.00038508928,0.0023138202
1.0000913,8.269955e-05,0,0.0008425232,1022.100409144549,227.60028831757558,574,105420.0,8.898159,1479.3474,0.5271904,111734.766,9.239572,0,,,,,1022.100409144549,8.295088e-05,227.60028831757558,8.60038e-05,-0.00021253513,0.0020260832
0.9999196,8.250702e-05,0,0.000843468,1022.1002448293202,227.60043118121052,575,105399.125,8.8973675,1478.6604,0.5269333,111715.58,9.2180605,0,,,,,1022.1002448293202,8.2963656e-05,227.60043118121052,8.601521e-05,-0.00025930835,0.0020895074
0.99991333,8.267848e-05,0,0.00084441283,1022.1003332058115,227.60017088850134,576,105398.13,8.897338,1477.3563,0.5273841,111714.88,9.237217,0,,,,,1022.1003332058115,8.296333e-05,227.60017088850134,8.6018306e-05,-0.00019283888,0.001975327
1.0000632,8.294451e-05,0,0.00084535766,1022.1005464542792,227.60079087540453,577,105413.3,8.897867,1478.5941,0.52655625,111731.62,9.266939,0,,,,,1022.1005464542792,8.2954146e-05,227.60079087540453,8.6010135e-05,3.257453e-05,0.0023217958
