flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
0.99996287,0.00021896348,0,0.0013689504,956.0292854597935,402.9846339533921,1105,22392.285,4.869055,852.33746,0.34809685,25313.525,5.5429435,0,,,,,956.0292854597935,0.00031525746,402.9846339533921,0.0003165184,0.007992809,0.031297386
1.0000086,0.00021926913,0,0.0013698691,956.030117160722,402.98424210824453,1106,22391.332,4.8688707,850.4969,0.34733438,25314.682,5.5506806,0,,,,,956.030117160722,0.00031524387,402.98424210824453,0.00031649426,0.007964937,0.031180508
0.99961853,0.00021911085,0,0.0013707877,956.0300154929048,402.98518923820615,1107,22382.984,4.868473,851.7642,0.34696114,25304.809,5.546674,0,,,,,956.0300154929048,0.0003154449,402.98518923820615,0.00031664214,0.007818034,0.031012721
1.0000789,0.00021900095,0,0.0013717064,956.0299727141447,402.9841763596237,1108,22394.947,4.8692093,851.78955,0.34701875,25316.463,5.543892,0,,,,,956.0299727141447,0.00031525307,402.9841763596237,0.0003165335,0.0075806486,0.030975206
1.0001683,0.00021948005,0,0.0013726249,956.0298384779094,402.98531615278455,1109,22393.719,4.869107,851.2785,0.34705153,25318.727,5.55602,0,,,,,956.0298384779094,0.00031520572,402.98531615278455,0.0003164444,0.0077630887,0.031499766
1.0005776,0.00021930927,0,0.0013735434,956.0305716678221,402.9851948766574,1110,22404.418,4.8695374,850.48883,0.34683922,25329.086,5.551697,0,,,,,956.0305716678221,0.0003150155,402.9851948766574,0.0003162268,0.0077563543,0.031524174
0.99972534,0.00021925743,0,0.0013744618,956.0295244453418,402.9850822662612,1111,22386.135,4.868655,849.82935,0.3469992,25307.512,5.5503845,0,,,,,956.0295244453418,0.0003153097,402.9850822662612,0.00031655407,0.0078079053,0.03142362
1.0000445,0.00021942078,0,0.0013753801,956.0305380395594,402.9852003937267,1112,22392.186,4.8688984,851.39764,0.34673715,25315.592,5.5545197,0,,,,,956.0305380395594,0.00031518165,402.9852003937267,0.00031645532,0.008004588,0.03157903
1.0000758,0.00021945601,0,0.0013762984,956.0300189803442,402.98457897021365,1113,22393.373,4.8689356,850.448,0.34748194,25316.383,5.5554113,0,,,,,956.0300189803442,0.0003152543,402.98457897021365,0.00031645343,0.007838259,0.031470142
1.0004792,0.00021950543,0,0.0013772165,956.0300467541606,402.9854712129188,1114,22400.832,4.8695607,852.8768,0.3465072,25326.596,5.5566626,0,,,,,956.0300467541606,0.00031526005,402.9854712129188,0.0003165019,0.008000519,0.03168176
