flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
0.9991601,0.00019061434,0,0.0013100957,828.0218683886528,1003.4125752276457,1105,25161.553,4.8797536,1104.1317,0.4383111,29422.123,5.6129932,0,,,,,828.0218683886528,0.000250832,1003.4125752276457,0.00020318011,-0.0012593571,-0.032102652
0.99913317,0.00019044384,0,0.0013108153,828.0218220376835,1003.4127806405533,1106,25159.703,4.879644,1103.3876,0.4391098,29421.33,5.607972,0,,,,,828.0218220376835,0.00025077828,1003.4127806405533,0.00020317834,-0.0013067705,-0.032186285
0.99930185,0.00019065045,0,0.0013115351,828.0224312045134,1003.4123063134086,1107,25164.5,4.880045,1103.758,0.43907213,29426.297,5.614056,0,,,,,828.0224312045134,0.00025082135,1003.4123063134086,0.00020317713,-0.0011684701,-0.03224719
0.9996619,0.00019074792,8320,0.0013122547,828.0217603533725,1003.4125628155605,1108,25179.365,4.8824153,1102.8203,0.4402576,29436.9,5.616926,8320,,,,,828.0217603533725,0.00025066102,1003.4125628155605,0.00020314127,-0.0010609669,-0.03196542
0.9992643,0.00019076976,0,0.0013129743,828.0219595497673,1003.4124057365822,1109,25163.0,4.879925,1103.4843,0.43827173,29425.191,5.6175694,0,,,,,828.0219595497673,0.00025085037,1003.4124057365822,0.00020321038,-0.0011321945,-0.031732906
0.9995247,0.00019066529,0,0.0013136938,828.021460013533,1003.4122665172633,1110,25171.215,4.88038,1104.2565,0.43863767,29432.86,5.6144934,0,,,,,828.021460013533,0.00025074155,1003.4122665172633,0.00020315207,-0.0012843618,-0.031682137
0.99889994,0.00019070694,0,0.0013144132,828.0218405782732,1003.4125189640602,1111,25158.863,4.8796234,1103.6062,0.43921122,29414.463,5.61572,0,,,,,828.0218405782732,0.00025089117,1003.4125189640602,0.00020324251,-0.0012523493,-0.03148456
0.99929094,0.00019083737,0,0.0013151326,828.0212551568077,1003.4129190774032,1112,25166.219,4.8803525,1102.9635,0.4392391,29425.977,5.6195602,0,,,,,828.0212551568077,0.0002507836,1003.4129190774032,0.00020317773,-0.0014236064,-0.03148562
0.999375,0.00019066257,0,0.0013158519,828.022070334797,1003.4127560877098,1113,25169.904,4.880393,1103.4731,0.4404855,29428.451,5.6144133,0,,,,,828.022070334797,0.00025074815,1003.4127560877098,0.00020313852,-0.0013608801,-0.0314134
0.9992256,0.00019072102,0,0.0013165711,828.0216888541192,1003.4128926550957,1114,25165.66,4.879963,1102.7229,0.43914676,29424.053,5.6161346,0,,,,,828.0216888541192,0.0002507994,1003.4128926550957,0.00020318992,-0.0013274782,-0.031157013
0.99924845,0.0001907414,0,0.0013172902,828.0218397027079,1003.4126569425414,1115,25169.648,4.8805923,1103.646,0.4402442,29424.725,5.6167345,0,,,,,828.0218397027079,0.0002508814,1003.4126569425414,0.00020326393,-0.0012308919,-0.031186288
0.9992209,0.00019091736,0,0.0013180093,828.021206846741,1003.412987441701,1116,25164.443,4.880112,1102.7926,0.44041488,29423.914,5.621916,0,,,,,828.021206846741,0.00025083416,1003.412987441701,0.0002032064,-0.0012353788,-0.031448334
0.9993119,0.00019072753,0,0.0013187284,828.0218116563498,1003.4125212321524,1117,25167.922,4.8803053,1103.2642,0.4387645,29426.594,5.616326,0,,,,,828.0218116563498,0.00025082837,1003.4125212321524,0.00020318008,-0.0010456138,-0.03133987
0.9994047,0.00019075237,0,0.0013194474,828.0221042581003,1003.4130725904689,1118,25174.56,4.8805566,1102.8259,0.43872225,29429.326,5.6170573,0,,,,,828.0221042581003,0.00025072118,1003.4130725904689,0.00020311392,-0.0010133508,-0.031324387
0.9993588,0.00019071675,0,0.0013201663,828.021725851839,1003.4127476026658,1119,25167.498,4.8801847,1103.1771,0.43911588,29427.973,5.6160083,0,,,,,828.021725851839,0.0002507721,1003.4127476026658,0.00020315939,-0.0009493091,-0.031674683
0.9992927,0.00019068504,0,0.0013208851,828.0216352942884,1003.4129261399677,1120,25168.348,4.880202,1103.5007,0.43941712,29426.027,5.6150746,0,,,,,828.0216352942884,0.00025075694,1003.4129261399677,0.00020315089,-0.0008758035,-0.03142292
0.99895513,0.00019078863,0,0.0013216039,828.02203571852,1003.413105137145,1121,25160.7,4.879908,1103.0005,0.43980318,29416.088,5.6181254,0,,,,,828.02203571852,0.00025087217,1003.413105137145,0.00020322656,-0.00085738685,-0.031149436
0.9993555,0.00019065019,0,0.0013223226,828.0219765851152,1003.412480141413,1122,25171.15,4.8803787,1103.2825,0.4388618,29427.877,5.6140485,0,,,,,828.0219765851152,0.00025076687,1003.412480141413,0.0002031556,-0.00076141534,-0.031373095
0.9988911,0.00019068454,0,0.0013230413,828.0218736041999,1003.4131854088882,1123,25157.924,4.879482,1102.3945,0.43938988,29414.203,5.6150603,0,,,,,828.0218736041999,0.00025090002,1003.4131854088882,0.00020325706,-0.0008289994,-0.031089505
0.99899566,0.00019065483,0,0.0013237598,828.0215963755189,1003.4133169271954,1124,25160.18,4.8796277,1101.9507,0.43895692,29417.281,5.6141853,0,,,,,828.0215963755189,0.0002508159,1003.4133169271954,0.00020321266,-0.0007641747,-0.031138215
0.9989554,0.00019061498,0,0.0013244783,828.0216675110253,1003.4129875521888,1125,25164.975,4.8800216,1103.0277,0.43958247,29416.096,5.613012,0,,,,,828.0216675110253,0.00025081338,1003.4129875521888,0.0002032042,-0.001136872,-0.03098961
0.99921566,0.0001907625,0,0.0013251968,828.021537729865,1003.4129291213508,1126,25165.074,4.880006,1102.0955,0.4400065,29423.76,5.617356,0,,,,,828.021537729865,0.00025082877,1003.4129291213508,0.00020318969,-0.0008831418,-0.031158948
0.9996219,0.00019080163,0,0.0013259151,828.021865992923,1003.4130778176054,1127,25176.18,4.8806624,1103.2169,0.43879953,29435.723,5.618508,0,,,,,828.021865992923,0.00025067898,1003.4130778176054,0.00020309229,-0.0010888815,-0.031070411
0.9991004,0.00019069373,0,0.0013266334,828.0221846727152,1003.4130160220784,1128,25166.096,4.880073,1102.8816,0.43915913,29420.365,5.6153307,0,,,,,828.0221846727152,0.00025079038,1003.4130160220784,0.00020318442,-0.0010753919,-0.030937467
0.9994365,0.00019073025,0,0.0013273517,828.022275281973,1003.4130646906866,1129,25172.61,4.880414,1101.2484,0.4400619,29430.262,5.616406,0,,,,,828.022275281973,0.00025074015,1003.4130646906866,0.00020314177,-0.0008915302,-0.031196738
0.9989063,0.00019082322,0,0.0013280698,828.021960345854,1003.4134250025247,1130,25159.955,4.879796,1103.7393,0.4391312,29414.65,5.619144,0,,,,,828.021960345854,0.0002509073,1003.4134250025247,0.00020325136,-0.001134517,-0.03101097
0.99968463,0.00019077098,0,0.001328788,828.0219545640989,1003.4134613994481,1131,25177.615,4.8806977,1102.0984,0.43961027,29437.568,5.6176057,0,,,,,828.0219545640989,0.00025064926,1003.4134613994481,0.0002030663,-0.0010176816,-0.030815912
0.9990322,0.00019085259,0,0.001329506,828.0221319306199,1003.4134767222035,1132,25166.521,4.8800497,1102.8241,0.44068727,29418.357,5.6200085,0,,,,,828.0221319306199,0.00025076562,1003.4134767222035,0.00020313945,-0.0012240473,-0.030637559
0.9991004,0.00019071935,8192,0.001330224,828.0211187823923,1003.4138886841115,1133,25162.662,4.8798637,1103.4767,0.43940124,29420.365,5.616085,8192,,,,,828.0211187823923,0.0002508217,1003.4138886841115,0.00020322617,-0.0012111685,-0.030613158
0.9990245,0.00019076807,0,0.0013309419,828.0219105133062,1003.4130145129996,1134,25159.82,4.8794546,1102.1655,0.43882328,29418.13,5.61752,0,,,,,828.0219105133062,0.0002508372,1003.4130145129996,0.00020321303,-0.0010081928,-0.03096737
0.99901915,0.00019081018,0,0.0013316597,828.0217140505464,1003.4139050705851,1135,25165.512,4.8799934,1102.0159,0.43959415,29417.973,5.61876,0,,,,,828.0217140505464,0.00025081792,1003.4139050705851,0.00020316741,-0.0011477044,-0.030430099
0.9991087,0.00019072545,0,0.0013323774,828.021799411975,1003.4133791089134,1136,25162.965,4.879813,1102.878,0.4384432,29420.61,5.616265,0,,,,,828.021799411975,0.0002508451,1003.4133791089134,0.00020317975,-0.0011240151,-0.030708285
0.9991204,0.000190757,0,0.0013330951,828.0221420099549,1003.4136368729226,1137,25165.602,4.879904,1101.9564,0.4390383,29420.955,5.6171937,0,,,,,828.0221420099549,0.00025080264,1003.4136368729226,0.00020316168,-0.0009027328,-0.030782437
0.9990492,0.00019070388,0,0.0013338128,828.022014354749,1003.4130493337339,1138,25161.639,4.8800216,1103.4364,0.44116873,29418.857,5.6156297,0,,,,,828.022014354749,0.0002508339,1003.4130493337339,0.0002032015,-0.0008114501,-0.031240124
0.9994202,0.0001907926,0,0.0013345304,828.0216405600445,1003.4131393127598,1139,25175.275,4.8806596,1101.6521,0.43914786,29429.783,5.6182423,0,,,,,828.0216405600445,0.00025075048,1003.4131393127598,0.00020312233,-0.0009124011,-0.030824266
0.9990828,0.00019065506,0,0.0013352479,828.0217212669274,1003.4132637660948,1140,25163.682,4.8799267,1102.5474,0.43919054,29419.848,5.614192,0,,,,,828.0217212669274,0.00025083,1003.4132637660948,0.00020318036,-0.0009616464,-0.030732136
0.9986848,0.00019064521,0,0.0013359652,828.0219383001277,1003.4132328086155,1141,25150.848,4.878901,1102.21,0.43810853,29408.127,5.613902,0,,,,,828.0219383001277,0.00025089644,1003.4132328086155,0.00020327017,-0.0008470133,-0.03102255
0.99883664,0.00019076328,0,0.0013366827,828.021860893521,1003.4139877904588,1142,25161.973,4.8798337,1102.7688,0.4396104,29412.598,5.6173787,0,,,,,828.021860893521,0.0002508352,1003.4139877904588,0.00020323247,-0.0011730259,-0.030294882
0.99913263,0.00019070253,0,0.0013373999,828.0218995951619,1003.4134786983273,1143,25164.775,4.8798623,1100.9878,0.4398213,29421.314,5.6155896,0,,,,,828.0218995951619,0.00025076844,1003.4134786983273,0.00020316977,-0.0010773039,-0.030933214
0.99920154,0.0001905978,128,0.0013381172,828.021777759511,1003.413622461869,1144,25168.463,4.880795,1102.2645,0.4402255,29423.344,5.612506,128,,,,,828.021777759511,0.00025078046,1003.413622461869,0.00020316344,-0.0011967259,-0.030460529
1.0003018,0.00019090348,128,0.0013388343,828.0216060895023,1003.4133035278147,1145,25193.834,4.883924,1102.2827,0.43916827,29455.744,5.621507,128,,,,,828.0216060895023,0.00025055924,1003.4133035278147,0.0002029819,-0.001444868,-0.030692784
0.99914163,0.00019078847,0,0.0013395514,828.0218923571604,1003.4139584633258,1146,25167.486,4.8800964,1101.2881,0.43926224,29421.58,5.6181207,0,,,,,828.0218923571604,0.00025082368,1003.4139584633258,0.00020318404,-0.0015479375,-0.030329123
0.9989853,0.00019077852,0,0.0013402684,828.021732458822,1003.4142153834124,1147,25162.975,4.8798084,1101.6852,0.43973064,29416.975,5.6178274,0,,,,,828.021732458822,0.00025082985,1003.4142153834124,0.00020321594,-0.0013239942,-0.030145042
0.9988269,0.0001907441,0,0.0013409854,828.0216264589621,1003.4136090203785,1148,25154.514,4.8792663,1101.8643,0.4393321,29412.312,5.616814,0,,,,,828.0216264589621,0.00025092723,1003.4136090203785,0.00020325903,-0.0011333023,-0.030428013
0.99895966,0.00019083491,0,0.0013417023,828.0218249638262,1003.413753879086,1149,25165.633,4.8802648,1105.1299,0.439283,29416.22,5.619488,0,,,,,828.0218249638262,0.0002508941,1003.413753879086,0.00020325393,-0.0010909146,-0.030333169
0.9988169,0.00019077685,8192,0.0013424191,828.021961101433,1003.4139507154862,1150,25158.86,4.8794937,1101.436,0.43951488,29412.018,5.6177783,8192,,,,,828.021961101433,0.00025084632,1003.4139507154862,0.00020323248,-0.0009575202,-0.030209273
0.9991241,0.00019074397,0,0.0013431358,828.0215984836095,1003.4142728292902,1151,25165.863,4.8801184,1101.3092,0.4396961,29421.062,5.6168103,0,,,,,828.0215984836095,0.00025086122,1003.4142728292902,0.00020323214,-0.0011900507,-0.030160252
