time,flux
0.00117002,-2.65841350791573
0.0011710761,-2.4190976212118067
0.0011721321,-3.5264353885923683
0.0011731881,-2.206338078064274
0.0011742441,-1.4309546051439932
0.0011753,-0.933486355491886
0.0011763558,-1.253397656944308
0.0011774115,-1.296937708589005
0.0011784673,-2.334179080768479
0.001179523,-2.2227041967678614
0.0011805786,-2.036037805139304
0.0011816341,-1.966095807282823
0.0011826897,-1.9733524825566395
0.0011837452,-2.5657751001593727
0.0011848005,-1.4870008418357625
0.001185856,-0.3989627427377751
0.0011869112,-2.646988104291691
0.0011879666,-0.3453868635857797
0.0011890217,-0.37672952487621336
0.0011900769,-1.0011123931540988
0.001191132,-1.996975276534942
0.0011921871,-1.5909102558697548
0.001193242,-1.426631479448265
0.001194297,-1.9305844176430655
0.0011953518,-0.5876362998677919
0.0011964068,-0.2701953559560427
0.0011974615,-1.9907993826841588
0.0011985162,-1.900940127161283
0.001199571,-1.2828875500796864
0.0012006256,-2.788261676120496
0.00120168,-2.185340038973049
0.0012027347,-1.2771748482681162
0.001203789,-1.3914288845013165
0.0012048435,-1.6449493270609632
0.0012058979,-2.078805870052878
0.0012069521,-1.426631479448265
0.0012080064,-1.5453630387226993
0.0012090605,-2.377101543028457
0.0012101147,-1.4686275576316143
0.0012111688,-2.3693816757154273
0.0012122229,-2.9006629441986407
0.0012132768,-1.8391811886570444
0.0012143307,-1.9256437025626187
0.0012153846,-1.8416515461968186
0.0012164384,-1.3566894815926824
0.0012174922,-0.23530155570190298
0.0012185458,-2.4388604815326955
0.0012195994,-2.0621309566564823
0.001220653,-4.514115212621867
0.0012217065,-2.709673426873457
0.00122276,-3.803424227783913
0.0012238134,-3.794777976393356
0.0012248667,-3.701213184559471
0.00122592,-4.083192219208041
0.0012269733,-3.104313043915504
0.0012280265,-3.3552087315889723
0.0012290796,-2.6338643298599
0.0012301326,-2.753522273211862
0.0012311856,-2.8466238730074322
0.0012322386,-2.7028799436379547
0.0012332915,-2.1186403853883635
0.0012343443,-1.7165896957260953
0.0012353972,-3.682376708315211
0.0012364498,-3.275076508880586
0.0012375026,-3.1833644852017557
0.0012385552,-2.5123536183528827
0.0012396077,-3.4884536414119385
0.0012406602,-2.4431836072284234
0.0012417126,-2.636180290054168
0.001242765,-2.9653554322809677
0.0012438173,-1.3938992420410907
0.0012448695,-2.6738532425417896
0.0012459217,-3.1055482226858406
0.0012469739,-1.8913674916922991
0.0012480259,-1.3664165144062732
0.001249078,-2.5537321071506147
0.0012501299,-0.7973078960899326
0.0012511818,-1.2500009153261074
0.0012522336,-2.2058748860259594
0.0012532854,-2.299902869898159
0.0012543371,-4.998150893148476
0.0012553888,-3.9235453631750885
0.0012564404,-4.437997320914603
0.001257492,-4.170889911883951
0.0012585435,-3.0808446472845046
0.0012595949,-0.054656660576826104
0.0012606463,-1.3778419180303123
0.0012616975,-2.216219508225168
0.0012627487,-3.3797579096448023
0.0012638,-3.688552602165994
0.0012648511,-4.180153752660127
0.0012659021,-2.333252696690951
0.0012669531,-2.051940731803678
0.0012680041,-1.3972959836583922
0.001269055,-2.0760267178202954
0.0012701057,-1.8675903003684908
0.0012711565,-3.6008549094900837
0.0012722071,-4.365430568172842
0.0012732578,-4.361725031861832
0.0012743083,-5.116264863038191
