time,flux
0.0009750644,0.8017929493217506
0.00097592815,0.7387569690297195
0.0009767918,0.8449293358351526
0.0009776555,0.9182241129196383
0.0009785192,0.6585405941089231
0.0009793828,0.8935041206482819
0.0009802465,0.8275017412838032
0.00098111,0.7919049524129922
0.0009819736,1.0440488735807567
0.000982837,0.7797921562002578
0.0009837006,0.6065050103778183
0.0009845641,0.8635929300001419
0.0009854275,0.7952421513698555
0.0009862909,0.8474013350624322
0.0009871543,0.7749717577071705
0.0009880177,0.8611209307728623
0.000988881,0.8439405361440969
0.0009897443,0.7141605767194753
0.0009906075,0.8820093242421874
0.0009914708,0.6921597835979824
0.000992334,0.7699041592914992
0.0009931972,0.6463041979347167
0.0009940603,0.7760841573593384
0.0009949235,0.9646976983899037
0.0009957866,1.041700474314949
0.0009966496,0.8005569497081109
0.0009975127,0.4613986557450708
0.0009983757,0.8927625208801699
0.0009992387,0.5497726281150983
0.0010001017,0.7681737598326914
0.0010009645,0.8003097497851671
0.0010018274,0.6884517847574227
0.0010026903,0.7486449659381184
0.0010035532,0.7533417644697336
0.0010044159,0.4782082504894205
0.0010052788,1.1805032309187453
0.0010061415,0.5830210177201016
0.0010070042,0.4334650644783228
0.0010078669,0.7338129705755202
0.0010087296,0.6831369864191674
0.0010095921,0.6252922045042796
0.0010104547,0.6177526068613287
0.0010113174,0.5610202245986087
0.0010121799,0.6229438052384719
0.0010130423,0.5500198280376823
0.0010139048,0.6131794082911853
0.0010147672,0.25449232043393183
0.0010156296,0.6662037917133458
0.001016492,0.5607730246760246
0.0010173544,0.22309793024920835
0.0010182167,5.871863364176756
0.001019079,0.4114642713568299
0.0010199412,0.218153931795009
0.0010208035,0.33829309423381604
0.0010216656,0.4003402748347914
0.0010225278,0.08590197314310777
0.0010233899,0.041282387093481934
0.0010242519,0.1701971467885198
0.001025114,0.15907315026648133
0.001025976,0.21024353426800224
0.0010268381,0.018910794087573343
0.0010277,0.13904995652638039
0.001028562,0.04943998454271303
0.0010294238,-0.04659718543137752
0.0010302857,-0.026079591846108453
0.0010311475,-0.030158390570724
0.0010320093,0.07391277689148547
0.0010328711,-0.24361552383411772
0.0010337328,0.06637317924889441
0.0010345945,0.7128009771447233
0.0010354562,-0.34422589237835166
0.0010363178,-0.16055634980234543
0.0010371794,-0.5985946128508116
0.001038041,-0.6168874071313852
0.0010389024,-0.3454618919919914
0.0010397639,-0.3800698811721064
0.0010406254,-0.33285469593372913
0.0010414869,-0.580549018492822
0.0010423482,0.0432599864748739
0.0010432096,-0.6556977949975876
0.0010440709,-1.0199468811160401
0.0010449323,-0.5031754426833611
0.0010457935,-0.6856089856460873
0.0010466547,-0.9069765164357683
0.0010475159,-0.7045197797336606
0.001048377,-0.8854701231598032
0.0010492381,-0.8462889354099046
0.0010500993,-0.8483901347527685
0.0010509603,-1.1263664478440574
0.0010518213,-0.9277413099439811
0.0010526823,-1.0683980659676975
0.0010535432,-0.9202017123010303
0.0010544041,-1.4998855310642687
0.001055265,-1.170368034087043
0.0010561259,-1.2571352069597348
0.0010569866,-1.1325464459118963
0.0010578474,-1.198301625353791
0.0010587081,-1.112770452095099
0.0010595687,-1.1707388339714588
0.0010604294,-1.3860499666547725
0.00106129,-1.134771245216592
0.0010621506,-1.3986571627130349
0.0010630111,-1.3828363676593811
0.0010638717,-1.333767183000724
0.0010647321,-1.2671468038296054
0.0010655925,-2.02864616574857
0.0010664529,-3.034626251231596
0.0010673134,-2.6545563700594896
0.0010681737,-3.062436242536872
0.001069034,-2.7978087252719575
0.0010698942,-1.9621493865389232
0.0010707544,-1.7893566405620116
0.0010716146,-1.5836863048641527
0.0010724748,-1.8329874269209414
0.0010733348,-2.0181401690335314
0.0010741949,-1.795042238784323
0.0010750549,-1.7718054460491903
0.0010759148,-1.9337213954266474
0.0010767748,-1.9237097985567768
0.0010776347,-1.8968886069425563
0.0010784946,-2.1108401400511183
0.0010793544,-2.104536542021807
0.0010802143,-1.8343470264956934
0.001081074,-2.0014541742502936
0.0010819337,-1.9813073805490806
0.0010827933,-1.879955412236375
0.001083653,-2.068816153189524
0.0010845126,-2.0541077577880382
0.0010853722,-2.1299981340612755
0.0010862317,-2.362860461257411
0.0010870912,-2.367680859750498
0.0010879507,-2.5784187938636682
0.00108881,-2.715367551046825
0.0010896694,-2.702265955143035
0.0010905287,-2.345309266744949
0.0010922472,-2.5221808114464763
0.0010931065,-2.8383495125969675
0.0010939656,-2.6446683731510907
0.0010948248,-2.5831155923952838
0.0010956839,-2.8607211056025164
0.0010965429,-3.083819035851725
0.0010974018,-2.647016772416539
0.0010982609,-2.957376275383607
0.0010991198,-2.937229481682394
0.0010999787,-2.8688787030521072
0.0011008375,-2.8943402950915758
0.0011016963,-2.9738150702439006
0.0011025551,-3.1450010167231164
0.0011034138,-2.9824670675390195
0.0011042724,-2.9086778906090056
0.0011051311,-3.288006172013
0.0011059897,-2.877407100385754
0.0011068482,-2.822528717543314
0.0011077068,-3.0082994594625436
0.0011085653,-2.949218677934016
0.0011094237,-2.941926280214009
0.001110282,-3.134865819891774
0.0011111405,-3.181957405168679
0.0011119987,-3.296781769269231
0.001112857,-3.1301690213605182
0.0011137152,-2.997917062708617
0.0011145734,-3.227689390870833
0.0011154315,-3.4142017325581744
0.0011162896,-3.480945711690765
0.0011171477,-3.1314050209737982
0.0011180057,-3.3642673481699337
0.0011188637,-2.963309073528862
0.0011197216,-3.309141765404909
0.0011205794,-3.311119364786661
0.0011214373,-3.451899720772209
0.0011222952,-3.1027298299392982
0.0011231529,-3.476001713236566
